Column 0;Column 1;Column 2;Column 3;Column 4;Column 5;Column 6;Column 7;Column 8;Column 9;
-1248033433;-1562724391;-1046466734;-711613947;1811504249;1876527246;-969277117;253694013;-611165167;146667146;
469563206;1888218746;1939648766;-819384080;419427329;2078015644;53915950;-863631110;1838288673;1709142575;
-2064794074;1236714491;-1495461694;1676455244;1366465096;1934244392;333573198;-1478591492;2134554689;-2119326023;
-1510335923;-1165844425;-899261002;-966984825;-1644062360;1630285900;-171971364;-1067302100;-1164575461;-2071115072;
1025441773;1745870571;-198991027;188354276;1876388011;1927290678;1391151694;292916497;1333830899;1772972412;
687365262;-1935794924;-1159398198;802988066;-517484664;1977727742;1411538983;1420068469;1465842769;-265324631;
963922215;287580225;61780202;-1695167033;1894608050;-347309285;584395503;-1322296082;-552567506;689876167;
-1614503781;417466369;-239745441;-486817779;1635626124;-467109846;-1695116434;1633641894;1852842616;149099475;
1470104766;-695058730;-786515499;1930616189;-1718933371;1573341927;-2119936931;49804058;1857574892;-1373494297;
1521033235;778284887;-1726768997;-1885713731;1409050920;-127535485;-2089681;1914715555;1848374159;1679235176;
1187281105;-614765721;-479670495;-1887230174;715040477;1155562942;-494248807;-1867282943;1210950740;-1258159707;
136151549;-1916598621;936118500;-840857353;-1468302924;1751916916;-341129214;-1990093237;-1841442383;-128355815;
1974882721;-1073761667;797679502;1682208680;486014644;2113781878;-61845237;2091306222;-1633314260;-1592651348;
1648004951;-2011463264;1566890315;-257075412;1017307514;1693725672;-868853562;636567194;-506297558;374214564;
-2030674740;234056075;1459989149;369637214;-1680571592;1352867967;326672473;-244578475;-2616695;126334252;
-1187366422;555316357;186017346;-257125592;549794892;-1806934962;-848017125;2003625997;1171653320;1335627158;
-1165432480;-1022894719;1083302038;2043216108;1518271066;55948765;-1419179504;-2136390331;-278851980;1243374413;
1092798654;1841916761;-1355297310;1267928753;-1102203899;-1771173368;1740126839;2076679510;-1035559735;1770063552;
-79871336;1784003460;2144364441;1540369112;-3839422;-932742379;-1081826530;-2043875344;-1123473406;1595454786;
-1654752156;-1813043295;962830489;264297522;-1222033004;-1382587041;1663507199;470449535;1339548612;-116676211;
1584389433;-1031711168;-861775970;98828557;552512872;-341338746;1979498836;186751460;136444997;556806277;
1654610723;-285423111;-603106949;-2064867367;-1990870546;-1557997671;-1919110718;-1429234735;1849800510;28903340;
1243913094;566958960;1201954986;-1188348911;997335688;-1222119724;1549568724;-1015329394;-1754307482;-1329359991;
154831112;-2019230735;947190483;-1517076600;1575072166;886467188;-430645857;1359296006;-845525600;-949025846;
1384355954;1758000472;1088567657;902743732;-941141366;-941938949;763153022;97960330;-309627530;-2082944990;
-576715966;2021459580;-941907764;77809875;-894337786;82780025;-1552519788;1117372690;-654601753;-1997970930;
423616500;808337037;-1996160417;-2067090637;-2040099947;-1401252912;1758021612;771031955;-996388286;-1267092789;
1212489933;-93890924;513560078;-1622469634;-1344156280;897856101;-391881709;2131731432;-2119593507;906587195;
1350460828;790345462;11906401;1689681819;186537575;167947720;-1084334178;285474462;-115231897;1827216173;
461361008;1285531929;1426719369;-344331193;551798664;-18084150;1973893271;283779966;317153415;1071551766;
1268247909;-1873928685;1629093187;-961958543;-2081080860;-1145418243;-1587269770;-1437556670;283269542;-320613923;
-87383830;344023546;1774151824;-1762647706;-30317513;377175281;-1162579081;2107188243;-271318817;1619271434;
1226377274;-1722191001;-774188891;1731862854;-1236610026;811659113;-137297748;506728939;-962851795;741395638;
2029132324;-764856658;-1319521274;1099004241;-2059602317;1360196998;1779314281;1734817263;252679911;-1443133305;
-1714160536;207475352;-1394768854;-68868526;826225620;-1998665213;-81428486;-662658129;-443863869;113576458;
787274445;-641116547;-29036077;-1241059185;-39354131;940335469;2103110503;-791633573;-879370630;1405319014;
-1067128388;885738353;1562366747;459533145;-1364339350;-132854479;1956972246;1527196619;1791715570;-1263646060;
1599667132;1405160703;1479147002;1274767152;1686773062;853381961;-1658756066;354558851;-1815195363;2039790596;
836706246;-913550122;-2076409748;-1977446140;-351031571;450362736;-101944848;775743732;-1309527900;1059626178;
1407359010;1347447555;473585265;1348279793;1211288524;-1194475041;1725651888;-1440667568;179010709;105943997;
2071818006;-670292349;65479108;-706743796;2003850461;-559120318;-1466407459;-1549056132;-1438432640;166531913;
290766207;1213071897;438434200;1389783484;-1064399903;-692589224;-95236910;130002172;1603469478;1502438277;
425616012;-1362322620;-501631536;-334997279;1236601596;1067400623;-256201682;773172686;-913882856;178451500;
-1648257480;683791313;-1274263856;-1099119562;5490937;562117638;-313621514;-975294239;-1448185949;602139866;
